TransactionID,DATETIME,Amount,CustomerID,MerchantID,Location,TransactionType,FraudFlag
1,2023-09-11 03:29:48,1873.33,4254,568,Chicago,Wire Transfer,1
2,2021-10-22 19:25:31,4753.62,1863,891,Chicago,ATM,0
3,2020-04-06 17:59:07,3660.24,3595,617,New York,Online,1
4,2021-10-17 13:34:18,2993.69,4953,746,New York,Online,1
5,2020-08-11 09:04:24,780.94,4108,302,Miami,Wire Transfer,0
6,2024-08-10 13:18:55,780.82,4055,360,Miami,Mobile,0
7,2021-05-15 21:49:31,291.36,2037,399,Los Angeles,Wire Transfer,0
8,2023-01-08 15:36:55,4331.01,4994,359,Los Angeles,Mobile,0
9,2020-11-19 22:43:36,3005.97,3682,894,Chicago,Mobile,1
10,2024-08-03 02:21:56,3540.65,1594,335,New York,Online,0
11,2020-12-13 01:10:30,103.9,2182,597,Chicago,ATM,1
12,2023-12-09 20:27:22,4849.58,2517,937,Miami,POS,0
13,2023-12-29 02:18:38,4162.38,2352,591,Houston,ATM,1
14,2023-11-09 21:23:18,1062.48,1613,954,Miami,POS,0
15,2024-11-29 13:03:02,909.94,2872,305,Houston,Online,1
16,2022-08-07 22:45:00,917.84,4154,782,New York,POS,1
17,2022-01-28 02:46:44,1521.91,4627,788,New York,Mobile,0
18,2024-09-11 20:38:29,2624.26,2603,253,New York,Wire Transfer,0
19,2023-04-06 11:14:48,2160.29,2583,476,Los Angeles,POS,1
20,2023-03-19 05:23:43,1456.85,2592,310,Los Angeles,ATM,0
21,2021-06-02 11:24:43,3059.65,4658,423,Houston,Online,0
22,2021-01-05 22:58:25,698.33,4093,274,Chicago,Online,1
23,2021-07-20 20:15:33,1461.43,2155,705,Chicago,Wire Transfer,0
24,2024-01-09 01:57:37,1832.44,1464,213,Houston,Mobile,0
25,2024-11-25 07:12:08,2280.89,2479,969,Los Angeles,Mobile,1
26,2021-09-01 19:28:30,3926.09,4373,681,Miami,Online,1
27,2024-10-12 17:13:10,999.17,4002,388,Houston,Mobile,0
28,2024-11-07 05:35:36,2571.66,3977,563,Chicago,Wire Transfer,0
29,2023-10-24 11:17:45,2962.48,2290,438,Houston,Online,1
30,2024-08-07 09:57:21,233.21,3846,600,Houston,Mobile,0
31,2020-04-24 13:14:12,3038.12,3442,503,New York,POS,1
32,2023-05-17 17:56:38,853.45,4191,290,Los Angeles,POS,0
33,2020-07-01 19:26:48,326.19,3293,591,New York,Mobile,1
34,2021-07-03 07:18:03,4744.48,1567,383,Los Angeles,POS,0
35,2020-06-23 02:45:44,4828.19,1037,216,Houston,Wire Transfer,1
36,2024-03-08 19:54:23,4042.18,1244,211,Los Angeles,ATM,0
37,2023-06-08 13:43:07,1523.76,1020,365,Chicago,Wire Transfer,0
38,2022-09-28 21:41:19,489.26,2133,345,New York,Wire Transfer,0
39,2022-03-22 16:25:56,3421.48,2629,481,Houston,Mobile,0
40,2020-08-02 09:16:08,2201.32,1393,748,Chicago,Wire Transfer,0
41,2022-04-03 13:20:36,611.07,2433,781,Los Angeles,Mobile,1
42,2023-10-14 22:11:03,2476.39,1986,368,Los Angeles,Online,1
43,2023-07-03 08:53:17,172.91,2671,369,Chicago,Mobile,0
44,2020-02-25 20:20:08,4546.69,4814,964,Los Angeles,Mobile,0
45,2022-12-27 00:51:45,1294.64,3055,545,New York,Online,1
46,2021-02-18 23:49:11,3312.95,4515,698,Miami,ATM,0
47,2020-02-08 20:32:20,1559.24,3375,659,Los Angeles,Online,0
48,2022-10-10 09:09:17,2600.82,2910,496,Houston,Mobile,0
49,2022-02-16 14:56:20,2734.0,1289,341,Los Angeles,POS,0
50,2024-08-04 12:22:54,925.09,2786,984,Houston,Mobile,0
51,2022-03-16 17:28:39,4847.95,3558,936,Los Angeles,Online,1
52,2024-07-20 00:09:37,3875.89,1911,894,Los Angeles,Mobile,0
53,2022-11-20 13:38:27,4697.56,1360,932,Houston,Online,1
54,2024-01-23 01:30:20,4474.24,4980,252,New York,Wire Transfer,0
55,2021-03-10 05:07:07,2989.9,2622,317,Miami,ATM,0
56,2022-09-16 17:29:25,4609.45,3763,564,Miami,ATM,0
57,2021-06-14 02:50:19,443.37,1218,870,New York,Online,1
58,2021-11-28 18:46:39,980.72,3453,335,Los Angeles,ATM,0
59,2024-07-11 03:56:42,227.09,3015,613,Miami,POS,0
60,2022-01-21 22:48:34,1627.33,3040,276,New York,POS,0
61,2024-11-27 16:28:20,1944.0,3044,756,New York,ATM,0
62,2022-03-03 12:21:11,1357.47,3800,217,Miami,Online,0
63,2023-10-03 06:01:23,4143.86,3970,602,Houston,POS,0
64,2020-05-03 21:55:07,1784.41,1831,404,Chicago,ATM,0
