Amount,CustomerID,MerchantID,TransactionType,Location,FraudFlag
1873.33,4254,568,4,0,1
4753.62,1863,891,0,0,0
3660.24,3595,617,2,4,1
2993.69,4953,746,2,4,1
780.94,4108,302,4,3,0
780.82,4055,360,1,3,0
291.36,2037,399,4,2,0
4331.01,4994,359,1,2,0
3005.97,3682,894,1,0,1
3540.65,1594,335,2,4,0
103.9,2182,597,0,0,1
4849.58,2517,937,3,3,0
4162.38,2352,591,0,1,1
1062.48,1613,954,3,3,0
909.94,2872,305,2,1,1
917.84,4154,782,3,4,1
1521.91,4627,788,1,4,0
2624.26,2603,253,4,4,0
2160.29,2583,476,3,2,1
1456.85,2592,310,0,2,0
3059.65,4658,423,2,1,0
698.33,4093,274,2,0,1
1461.43,2155,705,4,0,0
1832.44,1464,213,1,1,0
2280.89,2479,969,1,2,1
3926.09,4373,681,2,3,1
999.17,4002,388,1,1,0
2571.66,3977,563,4,0,0
2962.48,2290,438,2,1,1
233.21,3846,600,1,1,0
3038.12,3442,503,3,4,1
853.45,4191,290,3,2,0
326.19,3293,591,1,4,1
4744.48,1567,383,3,2,0
4828.19,1037,216,4,1,1
4042.18,1244,211,0,2,0
1523.76,1020,365,4,0,0
489.26,2133,345,4,4,0
3421.48,2629,481,1,1,0
2201.32,1393,748,4,0,0
611.07,2433,781,1,2,1
2476.39,1986,368,2,2,1
172.91,2671,369,1,0,0
4546.69,4814,964,1,2,0
1294.64,3055,545,2,4,1
3312.95,4515,698,0,3,0
1559.24,3375,659,2,2,0
2600.82,2910,496,1,1,0
2734.0,1289,341,3,2,0
925.09,2786,984,1,1,0
4847.95,3558,936,2,2,1
3875.89,1911,894,1,2,0
4697.56,1360,932,2,1,1
4474.24,4980,252,4,4,0
2989.9,2622,317,0,3,0
4609.45,3763,564,0,3,0
443.37,1218,870,2,4,1
980.72,3453,335,0,2,0
227.09,3015,613,3,3,0
1627.33,3040,276,3,4,0
1944.0,3044,756,0,4,0
1357.47,3800,217,2,3,0
4143.86,3970,602,3,1,0
1784.41,1831,404,0,0,0
1405.39,2793,698,1,1,1
2713.94,4692,523,3,2,0
705.48,2791,794,4,1,1
4011.18,3841,761,3,0,0
373.68,2243,480,0,0,0
4934.45,1594,365,0,4,1
3861.45,3154,442,0,2,1
994.38,1580,678,2,4,1
28.61,3656,363,2,1,1
4077.49,2747,523,1,1,1
3534.58,4357,767,1,3,0
3645.31,4820,750,3,4,0
3856.58,3055,839,0,4,0
371.15,3853,833,1,4,1
1792.97,3236,958,0,4,1
580.23,1080,897,3,0,1
4315.65,3155,407,2,3,0
3116.87,2344,514,1,2,1
1655.16,2602,503,4,2,0
318.73,3733,438,4,2,1
1555.6,1345,926,4,0,0
1626.59,2886,423,4,3,1
3648.3,3375,287,4,3,0
3188.15,1554,736,4,0,0
4436.18,4770,628,4,4,1
2361.6,1301,419,1,1,1
598.85,1199,474,4,4,0
3566.51,3940,846,4,2,1
3804.16,4490,944,3,4,1
2806.82,2062,265,1,0,0
3855.06,4803,791,3,2,0
2469.48,1306,622,0,1,0
2614.14,4075,454,4,2,0
2138.28,2656,324,2,4,1
128.07,2871,345,4,3,0
540.35,4148,814,4,3,1
158.11,3515,584,3,3,1
3182.42,3226,646,0,2,1
1572.47,3692,586,3,3,1
2543.34,2846,582,1,0,1
4537.92,2764,476,0,1,0
1247.21,1275,581,0,3,1
2052.5,2175,323,0,0,1
3778.0,4235,466,3,0,0
1144.76,4361,989,4,2,1
385.82,2401,310,4,2,0
1449.47,3668,580,4,1,0
